"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"R. G. do Sul";"Fernando Henrique Cardoso PSDB (PFL-PTB)";1422390;"Presidente";1994;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"M. G. do Sul";"Fernando Henrique Cardoso PSDB (PFL-PTB)";512527;"Presidente";1994;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Mato Grosso";"Fernando Henrique Cardoso PSDB (PFL-PTB)";495956;"Presidente";1994;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Goiás";"Fernando Henrique Cardoso PSDB (PFL-PTB)";1171550;"Presidente";1994;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Distrito Federal";"Fernando Henrique Cardoso PSDB (PFL-PTB)";315106;"Presidente";1994;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Rondônia";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";89838;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Acre";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";39656;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Amazonas";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";161390;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Roraima";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";11575;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Pará";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";453794;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Amapá";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";34623;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Tocantins";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";54989;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Maranhão";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";292057;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Piauí";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";296077;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Ceará";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";669425;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"R. G. do Norte";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";227252;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Paraíba";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";311142;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Pernambuco";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";949865;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Alagoas";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";84929;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Sergipe";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";211320;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Bahia";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";1310823;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Minas Gerais";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";1532740;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Espírito Santo";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";331798;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Rio de Janeiro";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";1689772;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"São Paulo";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";4205530;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Paraná";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";898231;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Santa Catarina";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";630999;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"R. G. do Sul";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";1610379;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"M. G. do Sul";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";179296;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Mato Grosso";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";147307;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Goiás";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";322907;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Distrito Federal";"Luiz Inácio Lula da Silva PT (PPS-PV-PSTU)";364541;"Presidente";1994;"Turno 1";"PT";"Luiz Inácio"
"Rondônia";"Êneas Carneiro PRONA";25811;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Acre";"Êneas Carneiro PRONA";12636;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Amazonas";"Êneas Carneiro PRONA";59444;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Roraima";"Êneas Carneiro PRONA";7313;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Pará";"Êneas Carneiro PRONA";115955;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Amapá";"Êneas Carneiro PRONA";11727;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Tocantins";"Êneas Carneiro PRONA";12566;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Maranhão";"Êneas Carneiro PRONA";72687;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Piauí";"Êneas Carneiro PRONA";27083;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Ceará";"Êneas Carneiro PRONA";74382;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"R. G. do Norte";"Êneas Carneiro PRONA";41383;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Paraíba";"Êneas Carneiro PRONA";44088;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Pernambuco";"Êneas Carneiro PRONA";99061;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Alagoas";"Êneas Carneiro PRONA";31131;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Sergipe";"Êneas Carneiro PRONA";32999;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Bahia";"Êneas Carneiro PRONA";164451;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Minas Gerais";"Êneas Carneiro PRONA";478926;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Espírito Santo";"Êneas Carneiro PRONA";79532;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Rio de Janeiro";"Êneas Carneiro PRONA";767702;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"São Paulo";"Êneas Carneiro PRONA";1380690;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Paraná";"Êneas Carneiro PRONA";256071;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Santa Catarina";"Êneas Carneiro PRONA";162721;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"R. G. do Sul";"Êneas Carneiro PRONA";450153;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"M. G. do Sul";"Êneas Carneiro PRONA";49527;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Mato Grosso";"Êneas Carneiro PRONA";40304;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Goiás";"Êneas Carneiro PRONA";93314;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Distrito Federal";"Êneas Carneiro PRONA";79237;"Presidente";1994;"Turno 1";"PRONA";"Êneas Carneiro"
"Rondônia";"Orestes Quércia PMDB (PSD)";17085;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Acre";"Orestes Quércia PMDB (PSD)";17708;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Amazonas";"Orestes Quércia PMDB (PSD)";31066;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Roraima";"Orestes Quércia PMDB (PSD)";2242;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Pará";"Orestes Quércia PMDB (PSD)";59021;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Amapá";"Orestes Quércia PMDB (PSD)";2955;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Tocantins";"Orestes Quércia PMDB (PSD)";30950;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Maranhão";"Orestes Quércia PMDB (PSD)";48771;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Piauí";"Orestes Quércia PMDB (PSD)";82867;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Ceará";"Orestes Quércia PMDB (PSD)";110705;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"R. G. do Norte";"Orestes Quércia PMDB (PSD)";37590;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Paraíba";"Orestes Quércia PMDB (PSD)";56408;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Pernambuco";"Orestes Quércia PMDB (PSD)";62823;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Alagoas";"Orestes Quércia PMDB (PSD)";24675;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Sergipe";"Orestes Quércia PMDB (PSD)";35268;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Bahia";"Orestes Quércia PMDB (PSD)";167417;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Minas Gerais";"Orestes Quércia PMDB (PSD)";232528;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Espírito Santo";"Orestes Quércia PMDB (PSD)";31403;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Rio de Janeiro";"Orestes Quércia PMDB (PSD)";152738;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"São Paulo";"Orestes Quércia PMDB (PSD)";895318;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Paraná";"Orestes Quércia PMDB (PSD)";102058;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Santa Catarina";"Orestes Quércia PMDB (PSD)";191772;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"R. G. do Sul";"Orestes Quércia PMDB (PSD)";179210;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"M. G. do Sul";"Orestes Quércia PMDB (PSD)";31206;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Mato Grosso";"Orestes Quércia PMDB (PSD)";39214;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Goiás";"Orestes Quércia PMDB (PSD)";107628;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Distrito Federal";"Orestes Quércia PMDB (PSD)";21162;"Presidente";1994;"Turno 1";"PMDB";"Orestes Quércia"
"Rondônia";"Leonel Brizola PDT";8143;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Acre";"Leonel Brizola PDT";2238;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Amazonas";"Leonel Brizola PDT";5970;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Roraima";"Leonel Brizola PDT";1316;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Pará";"Leonel Brizola PDT";11093;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Amapá";"Leonel Brizola PDT";1013;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Tocantins";"Leonel Brizola PDT";3847;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Maranhão";"Leonel Brizola PDT";21191;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Piauí";"Leonel Brizola PDT";9257;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Ceará";"Leonel Brizola PDT";26119;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"R. G. do Norte";"Leonel Brizola PDT";11670;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Paraíba";"Leonel Brizola PDT";15985;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Pernambuco";"Leonel Brizola PDT";29236;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Alagoas";"Leonel Brizola PDT";6339;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Sergipe";"Leonel Brizola PDT";9522;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Bahia";"Leonel Brizola PDT";35636;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Minas Gerais";"Leonel Brizola PDT";66834;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Espírito Santo";"Leonel Brizola PDT";11388;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Rio de Janeiro";"Leonel Brizola PDT";702182;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"São Paulo";"Leonel Brizola PDT";67747;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Paraná";"Leonel Brizola PDT";109908;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Santa Catarina";"Leonel Brizola PDT";67654;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"R. G. do Sul";"Leonel Brizola PDT";726445;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"M. G. do Sul";"Leonel Brizola PDT";14263;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Mato Grosso";"Leonel Brizola PDT";25712;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Goiás";"Leonel Brizola PDT";13463;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Distrito Federal";"Leonel Brizola PDT";11113;"Presidente";1994;"Turno 1";"PDT";"Leonel Brizola"
"Rondônia";"Espiridião AMIN PPR";5365;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Acre";"Espiridião AMIN PPR";2121;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Amazonas";"Espiridião AMIN PPR";9290;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Roraima";"Espiridião AMIN PPR";1089;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Pará";"Espiridião AMIN PPR";15463;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Amapá";"Espiridião AMIN PPR";1459;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Tocantins";"Espiridião AMIN PPR";3784;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Maranhão";"Espiridião AMIN PPR";17503;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Piauí";"Espiridião AMIN PPR";9162;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Ceará";"Espiridião AMIN PPR";23215;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"R. G. do Norte";"Espiridião AMIN PPR";8038;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Paraíba";"Espiridião AMIN PPR";8285;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Pernambuco";"Espiridião AMIN PPR";20027;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Alagoas";"Espiridião AMIN PPR";6615;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Sergipe";"Espiridião AMIN PPR";5490;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Bahia";"Espiridião AMIN PPR";29714;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Minas Gerais";"Espiridião AMIN PPR";79401;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Espírito Santo";"Espiridião AMIN PPR";13485;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Rio de Janeiro";"Espiridião AMIN PPR";91575;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"São Paulo";"Espiridião AMIN PPR";247152;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Paraná";"Espiridião AMIN PPR";167981;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Santa Catarina";"Espiridião AMIN PPR";517375;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"R. G. do Sul";"Espiridião AMIN PPR";393752;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"M. G. do Sul";"Espiridião AMIN PPR";13471;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Mato Grosso";"Espiridião AMIN PPR";15704;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Goiás";"Espiridião AMIN PPR";15815;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Distrito Federal";"Espiridião AMIN PPR";17127;"Presidente";1994;"Turno 1";"AMIN";"Espiridião AMIN"
"Rondônia";"Carlos Antônio Gomes PRN";2227;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Acre";"Carlos Antônio Gomes PRN";1640;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Amazonas";"Carlos Antônio Gomes PRN";3733;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Roraima";"Carlos Antônio Gomes PRN";273;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Pará";"Carlos Antônio Gomes PRN";10073;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Amapá";"Carlos Antônio Gomes PRN";722;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Tocantins";"Carlos Antônio Gomes PRN";3039;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Maranhão";"Carlos Antônio Gomes PRN";17343;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Piauí";"Carlos Antônio Gomes PRN";20614;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Ceará";"Carlos Antônio Gomes PRN";49825;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"R. G. do Norte";"Carlos Antônio Gomes PRN";7695;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Paraíba";"Carlos Antônio Gomes PRN";6883;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Pernambuco";"Carlos Antônio Gomes PRN";15190;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Alagoas";"Carlos Antônio Gomes PRN";6882;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Sergipe";"Carlos Antônio Gomes PRN";3755;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Bahia";"Carlos Antônio Gomes PRN";46223;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Minas Gerais";"Carlos Antônio Gomes PRN";44063;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Espírito Santo";"Carlos Antônio Gomes PRN";4850;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Rio de Janeiro";"Carlos Antônio Gomes PRN";30253;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"São Paulo";"Carlos Antônio Gomes PRN";51052;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Paraná";"Carlos Antônio Gomes PRN";18288;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Santa Catarina";"Carlos Antônio Gomes PRN";9078;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"R. G. do Sul";"Carlos Antônio Gomes PRN";15870;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"M. G. do Sul";"Carlos Antônio Gomes PRN";3247;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Mato Grosso";"Carlos Antônio Gomes PRN";5248;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Goiás";"Carlos Antônio Gomes PRN";6918;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Distrito Federal";"Carlos Antônio Gomes PRN";2627;"Presidente";1994;"Turno 1";"PRN";"Carlos Antônio"
"Rondônia";"Hernani Fontoura PSC";1575;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Acre";"Hernani Fontoura PSC";754;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Amazonas";"Hernani Fontoura PSC";3206;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Roraima";"Hernani Fontoura PSC";213;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Pará";"Hernani Fontoura PSC";9760;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Amapá";"Hernani Fontoura PSC";356;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Tocantins";"Hernani Fontoura PSC";1139;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Maranhão";"Hernani Fontoura PSC";6746;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Piauí";"Hernani Fontoura PSC";3460;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Ceará";"Hernani Fontoura PSC";9044;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"R. G. do Norte";"Hernani Fontoura PSC";3324;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Paraíba";"Hernani Fontoura PSC";3741;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Pernambuco";"Hernani Fontoura PSC";9713;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Alagoas";"Hernani Fontoura PSC";3558;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Sergipe";"Hernani Fontoura PSC";2704;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Bahia";"Hernani Fontoura PSC";18447;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Minas Gerais";"Hernani Fontoura PSC";27575;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Espírito Santo";"Hernani Fontoura PSC";3408;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Rio de Janeiro";"Hernani Fontoura PSC";39422;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"São Paulo";"Hernani Fontoura PSC";43547;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Paraná";"Hernani Fontoura PSC";13920;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Santa Catarina";"Hernani Fontoura PSC";7813;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"R. G. do Sul";"Hernani Fontoura PSC";12261;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"M. G. do Sul";"Hernani Fontoura PSC";2413;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Mato Grosso";"Hernani Fontoura PSC";1968;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Goiás";"Hernani Fontoura PSC";4534;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Distrito Federal";"Hernani Fontoura PSC";3525;"Presidente";1994;"Turno 1";"PSC";"Hernani Fontoura"
"Rondônia";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";323743;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Acre";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";90363;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Amazonas";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";452076;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Roraima";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";71768;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Pará";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";1020868;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Amapá";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";68277;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Tocantins";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";265393;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Maranhão";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";736042;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Piauí";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";482649;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Ceará";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";804969;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"R. G. do Norte";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";525842;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Paraíba";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";541067;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Pernambuco";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";1637394;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Alagoas";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";394873;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Sergipe";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";297243;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Bahia";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";1977801;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Minas Gerais";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";4225240;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Espírito Santo";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";814535;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Rio de Janeiro";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";2848277;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"São Paulo";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";9736728;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Paraná";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";2492531;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"Santa Catarina";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";1255253;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"R. G. do Sul";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";2036805;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
"M. G. do Sul";"Fernando Henrique Cardoso PSDB (PFL-PPB-PTB-PSD)";520471;"Presidente";1998;"Turno 1";"PSDB";"Fernando Henrique Cardoso"
