"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"Paraná";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";353907;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Santa Catarina";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";255015;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"R. G. do Sul";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";350062;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"M. G. do Sul";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";73697;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Mato Grosso";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";76700;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Goiás";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";298261;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Distrito Federal";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";220720;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Rondônia";"Leonel Brizola PDT";39650;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Acre";"Leonel Brizola PDT";8582;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Amazonas";"Leonel Brizola PDT";26129;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Roraima";"Leonel Brizola PDT";5092;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Pará";"Leonel Brizola PDT";52361;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Amapá";"Leonel Brizola PDT";4935;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Tocantins";"Leonel Brizola PDT";11605;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Maranhão";"Leonel Brizola PDT";116539;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Piauí";"Leonel Brizola PDT";93507;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Ceará";"Leonel Brizola PDT";505440;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"R. G. do Norte";"Leonel Brizola PDT";78259;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Paraíba";"Leonel Brizola PDT";186076;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Pernambuco";"Leonel Brizola PDT";265548;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Alagoas";"Leonel Brizola PDT";63071;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Sergipe";"Leonel Brizola PDT";55751;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Bahia";"Leonel Brizola PDT";229186;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Minas Gerais";"Leonel Brizola PDT";418935;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Espírito Santo";"Leonel Brizola PDT";105093;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Rio de Janeiro";"Leonel Brizola PDT";3855561;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"São Paulo";"Leonel Brizola PDT";252651;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Paraná";"Leonel Brizola PDT";616170;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Santa Catarina";"Leonel Brizola PDT";632170;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"R. G. do Sul";"Leonel Brizola PDT";3262925;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"M. G. do Sul";"Leonel Brizola PDT";63721;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Mato Grosso";"Leonel Brizola PDT";75194;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Goiás";"Leonel Brizola PDT";70146;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Distrito Federal";"Leonel Brizola PDT";71719;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Rondônia";"Mário Covas PSDB";13718;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Acre";"Mário Covas PSDB";3716;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Amazonas";"Mário Covas PSDB";36380;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Roraima";"Mário Covas PSDB";2944;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Pará";"Mário Covas PSDB";101282;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Amapá";"Mário Covas PSDB";3695;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
